
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.9740,232.76,-353.64,75.0,2.400,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,0.734702444869232,0.08463175657617901,-0.673089728997556,Alp,,Phe,1,2076,,64.44659847416881,
2478,2484,2884,126,,Bet1Tuc,,0.525725,-62.958218,41.4079,82.48,-54.37,14.0,4.360,1.275,B9V,-0.064,18.647710,2.582977,-36.881102,0.45034048236693974,0.062378657117828994,-0.89067522311878,Bet-1,,Tuc,1,2478,,26.915348039269155,
2914,2920,3360,153,,17Zet Cas,,0.616188,53.896909,181.8182,17.77,-9.15,2.0,3.690,-2.608,B2IV,-0.196,105.743565,17.207892,146.901502,0.5815894919470693,0.09464338719580752,0.8079581004710914,Zet,17,Cas,1,2914,,962.0552191862149,
3025,3031,3546,163,,30Eps And,,0.642602,29.311751,50.2260,-229.41,-254.08,-84.0,4.340,0.835,G5III...,0.871,43.176578,7.332959,24.588338,0.8596588305968706,0.14600144918281383,0.48956130546984516,Eps,30,And,1,3025,,40.36453929676048,
3086,3092,3627,165,,31Del And,,0.655462,30.861024,32.3520,115.38,-83.05,-7.0,3.270,0.720,K3III...,1.268,27.363473,4.742224,16.595166,0.8458063066318556,0.14658237887642936,0.5129574035577481,Del,31,And,1,3086,,44.87453899331323,
3172,3179,3712,168,,18Alp Cas,Shedir,0.675116,56.537331,69.9790,50.36,-32.17,-4.0,2.240,-1.985,K0II-IIIvar,1.170,37.984817,6.784483,58.379619,0.542803360573955,0.09695032023339398,0.8342452559986562,Alp,18,Cas,1,3172,,542.0008904016238,Alp
3398,3405,4150,191,,Eta Phe,,0.722567,-57.463060,75.5287,-5.16,15.50,2.0,4.360,-0.031,A0IV,0.024,39.897951,7.638724,-63.674097,0.5282487524095622,0.10113668300913449,-0.843044854635654,Eta,,Phe,1,3398,,89.61898068616138,
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.726490,-17.986605,29.5334,232.79,32.71,13.3,2.040,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.9339773755455361,0.1798113902042825,-0.30879463389423745,Bet,16,Cet,1,3413,,116.09138701261821,
3685,3693,4502,215,,34Zet And,,0.788981,24.267178,58.0046,-101.23,-81.89,-24.0,4.080,0.263,K1II,1.100,51.755023,10.844894,23.839349,0.892260523046841,0.1869667953355474,0.4109921853930233,Zet,34,And,1,3685,,68.35967668381046,Zet
3778,3786,4656,224,,63Del Psc,,0.811373,7.585079,95.4198,83.14,-50.48,32.0,4.440,-0.458,K5III,1.500,92.459279,19.940749,12.595285,0.9689708130231772,0.20897852524700208,0.1319982556505619,Del,63,Psc,1,3778,,132.8005886243731,
3814,3821,4614,219,Gl 34A,24Eta Cas,,0.818260,57.815187,5.9531,1087.11,-559.65,8.2,3.460,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,0.5204722661520991,0.11325504543574565,0.8463343989522378,Eta,24,Cas,1,3814,Gl  34,1.2752637064597296,Eta
3871,3881,4727,226,,35Nu  And,,0.830234,41.078911,189.3939,22.68,-18.05,-24.0,4.530,-1.857,B5V SB,-0.136,139.406857,30.787155,124.450180,0.7360691928707669,0.16255639657407378,0.6570978323198382,Nu,35,And,1,3871,,481.72590355916344,
4417,4427,5394,264,,27Gam Cas,Cih,0.945143,60.716740,168.3502,25.65,-3.82,-7.0,2.150,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,0.47423018666243766,0.1197980490699712,0.87221222044703,Gam,27,Cas,1,4417,,3407.218616593573,Gam
4426,4436,5448,269,,37Mu  And,,0.945885,38.499345,39.7772,152.78,36.82,8.0,3.860,0.862,A5V,0.130,30.180673,7.630372,24.761577,0.7587416676747152,0.19182743791891096,0.6225056753120075,Mu,37,And,1,4426,,39.37313537008504,
4567,4577,5737,280,,Alp Scl,,0.976766,-29.357449,238.0952,22.44,6.30,10.0,4.300,-2.584,B7IIIp,-0.154,200.770598,52.489589,-116.727788,0.8432363326395774,0.22045622701247672,-0.4902566055526222,Alp,,Scl,1,4567,,941.0224835267508,Alp
4896,4906,6186,294,,71Eps Psc,,1.049058,7.890135,55.7414,-80.57,25.88,7.0,4.270,0.539,K0III,0.952,53.144471,14.974142,7.651854,0.953410065067481,0.26863561589595464,0.1372740095583389,Eps,71,Psc,1,4896,,53.01515066784589,
5154,5165,6595,322,,Bet Phe,,1.101407,-46.718414,100000.0000,-70.16,31.60,-1.0,3.320,-16.680,G8IIIvar,0.885,65728.037190,19495.774096,-72799.312620,0.6572803719526884,0.19495774097562804,-0.7279931262583567,Bet,,Phe,1,5154,,409260659.730011,
5337,5348,6882,338,,Zet Phe,,1.139742,-55.245760,91.5751,21.17,29.70,15.0,3.940,-0.869,B6V + B0V,-0.120,49.896436,15.346501,-75.238648,0.5448682308008777,0.16758352938983254,-0.8216047539669965,Zet,,Phe,1,5337,,193.9099078614849,Zet
5353,5364,6805,334,NN 3075,31Eta Cet,,1.143164,-10.182264,37.9939,215.81,-138.33,12.9,3.460,0.561,K2III,1.161,35.733354,11.025427,-6.716585,0.9404995605262251,0.2901885238120658,-0.17678008173363843,Eta,31,Cet,1,5353,,51.95172830110675,
5436,5447,6860,337,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.070,-1.840,M0IIIvar,1.576,46.946371,14.741814,35.255129,0.7755539773172468,0.24353474479573878,0.582414677308766,Bet,43,And,1,5436,,474.2419852602448,
5574,5586,7106,352,,83Tau Psc,,1.194342,30.089638,51.7598,74.29,-37.61,30.0,4.510,0.940,K0III-IV...,1.092,42.613504,13.776233,25.950131,0.8232891844720106,0.2661556212712853,0.5013542699500102,Tau,83,Psc,1,5574,,36.643757464783334,
5730,5742,7318,360,,85Phi Psc,,1.229152,24.583713,136.7989,18.58,-21.26,6.0,4.670,-1.010,K0III...,1.047,118.013398,39.343134,56.911417,0.8626776372150455,0.2875982088046895,0.41602231255234406,Phi,85,Psc,1,5730,,220.80047330188992,
6179,6193,7964,383,,90Ups Psc,,1.324443,27.264059,94.4287,26.21,-11.62,8.0,4.740,-0.136,A3V,0.032,78.942697,28.524892,43.257068,0.8360025880680405,0.3020783991755608,0.45809203605287535,Ups,90,Psc,1,6179,,98.7188301068396,
